"k","n","SVP","SVP_nchanges","PELT","PELT_nchanges","penalty_svp","penalty_pelt"
0,10000,0.135999999999996,1,0.0480000000000018,0,36.8413614879047,18.4206807439524
0,10000,0.135000000000019,1,0.161000000000001,0,36.8413614879047,18.4206807439524
0,10000,0.147999999999996,1,0.155000000000001,0,36.8413614879047,18.4206807439524
0,10000,0.149000000000001,1,0.12299999999999,0,36.8413614879047,18.4206807439524
0,10000,0.156999999999982,1,0.126000000000005,0,36.8413614879047,18.4206807439524
0,10000,0.156000000000006,1,0.0629999999999882,0,36.8413614879047,18.4206807439524
0,10000,0.147999999999996,1,0.137,0,36.8413614879047,18.4206807439524
0,10000,0.152999999999992,1,0.0670000000000073,0,36.8413614879047,18.4206807439524
0,10000,0.14500000000001,1,0.113,0,36.8413614879047,18.4206807439524
0,10000,0.176999999999992,1,0.105999999999995,0,36.8413614879047,18.4206807439524
1,10000,1.88800000000001,2,0.0579999999999927,1,36.8413614879047,18.4206807439524
1,10000,1.88300000000001,2,0.0789999999999793,1,36.8413614879047,18.4206807439524
1,10000,1.86799999999999,2,0.0679999999999836,1,36.8413614879047,18.4206807439524
1,10000,1.84400000000002,2,0.0680000000000121,1,36.8413614879047,18.4206807439524
1,10000,1.881,2,0.085000000000008,1,36.8413614879047,18.4206807439524
1,10000,1.84200000000001,2,0.0790000000000077,1,36.8413614879047,18.4206807439524
1,10000,1.876,2,0.0810000000000173,1,36.8413614879047,18.4206807439524
1,10000,1.92500000000001,2,0.0599999999999739,1,36.8413614879047,18.4206807439524
1,10000,2.102,2,0.0809999999999889,1,36.8413614879047,18.4206807439524
1,10000,3.17500000000001,2,0.563999999999993,1,36.8413614879047,18.4206807439524
2,10000,15.654,3,0.489000000000004,2,36.8413614879047,18.4206807439524
2,10000,15.992,3,0.490000000000009,2,36.8413614879047,18.4206807439524
2,10000,11.366,3,0.0579999999999927,2,36.8413614879047,18.4206807439524
2,10000,1.78,3,0.046999999999997,2,36.8413614879047,18.4206807439524
2,10000,1.60399999999998,3,0.0459999999999923,2,36.8413614879047,18.4206807439524
