"method","detected","replicates","mean_time","median_time","lower","upper"
"DeCAFS AR1",1,64,0.00253903312969925,0.00252631578947369,0.00250000000000002,0.00255263157894736
"DeCAFS AR1",2,64,0.00303803453947367,0.00303571428571432,0.00300000000000011,0.00305263157894736
"DeCAFS AR1",3,64,0.00297107025375945,0.00295582706766945,0.00294736842105249,0.00300000000000011
"DeCAFS AR1",4,63,0.0029380594343,0.00294736842105249,0.00294736842105249,0.00294736842105249
"DeCAFS AR1",5,65,0.00290448235974541,0.00289473684210562,0.00289473684210413,0.0029285714285712
"DeCAFS AR1",6,64,0.00287041823308269,0.0028571428571428,0.002842105263158,0.00289473684210562
"DeCAFS AR1",7,64,0.00284498355263166,0.002842105263158,0.002842105263158,0.002842105263158
"DeCAFS AR1",8,64,0.00281893209586448,0.00280545112782036,0.00278947368421038,0.00284210526315651
"DeCAFS AR1",9,64,0.00280060502819551,0.00278947368421038,0.00278947368421038,0.00278947368421038
"DeCAFS AR1",10,63,0.00279388948561872,0.00278947368421038,0.00278947368421038,0.00278947368421038
"DeCAFS AR1",11,65,0.00276451706188547,0.00274999999999994,0.00273684210526426,0.00278947368421038
"DeCAFS AR1",12,64,0.00274512453007538,0.00273684210526426,0.00273684210526127,0.00273684210526426
"DeCAFS AR1",13,64,0.00272568139097734,0.00273684210526127,0.00271428571428649,0.00273684210526426
"DeCAFS AR1",14,62,0.00271604414261472,0.00273684210526127,0.00268421052631814,0.00273684210526276
"DeCAFS AR1",15,66,0.00270981430849877,0.0027105263157897,0.00268421052631814,0.00273684210526127
"DeCAFS AR1",16,64,0.00269501879699241,0.00268421052631514,0.00268421052631514,0.00268421052631814
"DeCAFS AR1",17,63,0.00267919799498803,0.00268421052631814,0.00268421052631215,0.00268421052631814
"DeCAFS AR1",18,65,0.00267912087912135,0.00268421052631814,0.00268421052631215,0.00268421052631814
"DeCAFS AR1",19,63,0.00266723356009144,0.00267857142857305,0.00265789473684208,0.00268421052631215
"DeCAFS AR1",20,63,0.00265810359231502,0.00267857142857305,0.00263157894737201,0.00268421052631215
"DeCAFS AR1",21,66,0.00264846776031062,0.00263157894737201,0.00263157894737201,0.00265789473684208
"DeCAFS AR1",22,62,0.00264688940092263,0.00263157894737201,0.00263157894737201,0.00267105263157712
"DeCAFS AR1",23,66,0.00262616769195802,0.00263157894737201,0.00260714285714211,0.00263157894737201
"DeCAFS AR1",24,64,0.00262714403195557,0.00263157894736902,0.00263157894736902,0.00263157894737201
"DeCAFS AR1",25,64,0.0026152196898502,0.00260526315789596,0.00260526315789596,0.0026193609022576
"DeCAFS AR1",26,63,0.00260120539443887,0.00260526315789596,0.0025789473684229,0.00260714285714211
"DeCAFS AR1",27,64,0.00259498355263223,0.00260526315789446,0.0025789473684199,0.00260714285714211
"DeCAFS AR1",28,64,0.0025863780545118,0.0025789473684229,0.0025789473684199,0.00260526315789446
"DeCAFS AR1",29,64,0.00258079769736852,0.0025789473684199,0.00257518796992429,0.0025789473684229
"DeCAFS AR1",30,64,0.00257272086466232,0.0025789473684199,0.00255263157894983,0.0025789473684229
"DeCAFS AR1",31,65,0.00256408328513631,0.00255263157894684,0.00255263157894684,0.0025789473684199
"DeCAFS AR1",32,64,0.00254796170112777,0.00253571428571523,0.00252631578947378,0.00255263157894684
"DeCAFS AR1",33,64,0.00255832941729347,0.00255263157894983,0.002544172932329,0.00257142857143273
"DeCAFS AR1",34,64,0.0025374765037597,0.00253571428571523,0.00252631578947378,0.00255263157894684
"DeCAFS AR1",35,63,0.00253082110037006,0.00252631578947378,0.00252631578947378,0.00253571428571929
"DeCAFS AR1",36,65,0.00251711972238265,0.00252631578947378,0.00250000000000072,0.00252631578947378
"DeCAFS AR1",37,64,0.00251171875000002,0.00251315789473981,0.00250000000000072,0.00252631578947378
"DeCAFS AR1",38,63,0.00250728010502415,0.00250000000000072,0.00249999999999773,0.00250000000000585
"DeCAFS AR1",39,65,0.00250977443608993,0.00250000000000072,0.00249999999999773,0.00252631578947378
"DeCAFS AR1",40,63,0.00249952261606397,0.00250000000000072,0.00249999999999773,0.00250000000000072
"DeCAFS AR1",41,64,0.00249662241541331,0.00250000000000072,0.0024868421052612,0.00250000000000072
"DeCAFS AR1",42,65,0.0024772990167728,0.00247368421052167,0.00246428571428429,0.00249999999999773
"DeCAFS AR1",43,63,0.00248266499582367,0.00247368421052766,0.00246428571429241,0.00249999999999773
"DeCAFS AR1",44,64,0.00246698778195478,0.00246428571428429,0.00244736842105459,0.00247368421052766
"DeCAFS AR1",45,65,0.0024700115673808,0.00247368421052167,0.00246428571428429,0.00247368421052766
"DeCAFS AR1",46,64,0.00245653195488671,0.00244736842105459,0.00244736842104861,0.00246898496240298
"DeCAFS AR1",47,62,0.00245337133155417,0.00244736842105459,0.00244736842104861,0.00246428571428429
"DeCAFS AR1",48,66,0.00244409318751485,0.00244736842104861,0.00242857142857084,0.00246428571428429
"DeCAFS AR1",49,64,0.00244076010338342,0.0024473684210516,0.00242857142857084,0.00244736842105459
"DeCAFS AR1",50,64,0.00243491541353388,0.00242857142857084,0.00242105263158153,0.0024473684210516
"DeCAFS AR1",51,64,0.00243685385338368,0.00242857142857084,0.00242105263158153,0.00244736842105459
"DeCAFS AR1",52,64,0.00243244830827017,0.00242857142857084,0.00242105263158153,0.00242880639097682
"DeCAFS AR1",53,64,0.00242210996240591,0.00242105263158153,0.00240789473684201,0.00242857142857084
"DeCAFS AR1",54,64,0.00242316729323345,0.00242105263158153,0.00242105263157555,0.00242857142857084
"DeCAFS AR1",55,63,0.00241732306957891,0.00242105263157555,0.00239473684210249,0.00242857142857084
"DeCAFS AR1",56,64,0.00241056743421054,0.00242105263157854,0.00239473684210847,0.00242857142857084
