"method","n","replicates","mean_time","median_time","lower","upper"
"DeCAFS AR1",256,64,0.000386040652056275,0.000385714285714288,0.000378571428571428,0.000392857142857137
"DeCAFS AR1",316,64,0.000452237215909094,0.000452380952380955,0.000449223484848488,0.000454545454545472
"DeCAFS AR1",390,64,0.000545088271103897,0.000544642857142857,0.000536363636363614,0.000545454545454566
"DeCAFS AR1",482,64,0.000651095779220785,0.000651785714285781,0.000642857142857104,0.000654545454545479
"DeCAFS AR1",595,64,0.000793655303030295,0.000790909090908992,0.000781818181818039,0.000800000000000203
"DeCAFS AR1",735,64,0.000961647727272759,0.000963636363636314,0.000945454545454667,0.000963636363636314
"DeCAFS AR1",908,64,0.0011701806006493,0.00116363636363624,0.00116071428571475,0.00118181818181814
"DeCAFS AR1",1121,64,0.00145030945616885,0.00145048701298702,0.00143246753246745,0.0014642857142856
"DeCAFS AR1",1384,64,0.00178560881963449,0.00178571428571469,0.00176785714285696,0.00178571428571469
"DeCAFS AR1",1709,64,0.00218958529135341,0.00218421052631575,0.00217857142857168,0.00221428571428512
"DeCAFS AR1",2111,64,0.00273599036654137,0.00273684210526426,0.00271428571428649,0.00273684210526426
"DeCAFS AR1",2606,64,0.00339127114661648,0.0033684210526327,0.00335714285714265,0.00339285714285812
"DeCAFS AR1",3219,64,0.00421907298430762,0.00421428571428554,0.00414285714285662,0.00424999999999898
"DeCAFS AR1",3974,64,0.00523536931818194,0.00522500000000055,0.00518333333333203,0.00524999999999902
"DeCAFS AR1",4908,64,0.00651682477678532,0.00649999999999551,0.00649999999999551,0.00650000000000261
"DeCAFS AR1",6060,64,0.008171875,0.00814285714285948,0.00814285714285542,0.00814285714285948
"DeCAFS AR1",7484,64,0.0101755208333323,0.0101666666666726,0.0101666666666536,0.0101666666666726
"DeCAFS AR1",9242,64,0.0126121093749988,0.0125999999999976,0.0124000000000024,0.0126003125000203
"DeCAFS AR1",11412,64,0.0158476562500018,0.015749999999997,0.015749999999997,0.0160000000000053
"DeCAFS AR1",14092,64,0.0198072916666655,0.0196666666666564,0.0196666666666564,0.0199999999999818
"DeCAFS AR1",17402,64,0.0245520833333354,0.0243333333333643,0.0243333333333264,0.0246666666666897
"DeCAFS AR1",21489,64,0.0307343750000006,0.0309999999999491,0.0305000000000177,0.0310000000000059
"DeCAFS AR1",26536,64,0.0383515624999973,0.0384999999999991,0.0380000000000109,0.0384999999999991
"DeCAFS AR1",32768,64,0.0483046875000133,0.0480000000000018,0.0475000000000136,0.04849999999999
"PELT AR1 approximate",256,64,6.79648954976726e-05,6.87500000000015e-05,6.87499999999998e-05,6.90909090909096e-05
"PELT AR1 approximate",316,64,9.54029694264059e-05,9.8181818181809e-05,9.8181818181809e-05,9.82142857142852e-05
"PELT AR1 approximate",390,64,0.000138349083951761,0.000141818181818187,0.00014107142857143,0.00014285714285714
"PELT AR1 approximate",482,64,0.000202780657698943,0.000207142857142882,0.000207142857142831,0.000207894736842089
"PELT AR1 approximate",595,64,0.000293420652127481,0.000305263157894699,0.000304545454545488,0.000308563311688313
"PELT AR1 approximate",735,64,0.000441562179596712,0.00045833333333339,0.000456439393939356,0.00045833333333339
"PELT AR1 approximate",908,64,0.000653315408549793,0.000687499999999984,0.000681818181818337,0.000690909090909031
"PELT AR1 approximate",1121,64,0.000985437381628848,0.00103571428571466,0.00103571428571416,0.00103603896103879
"PELT AR1 approximate",1384,64,0.00155305397727282,0.00155357142857225,0.00155357142857123,0.00157142857142795
"PELT AR1 approximate",1709,64,0.00231953098299719,0.00235714285714396,0.00235714285714193,0.00236842105263092
"PELT AR1 approximate",2111,64,0.0033924459586471,0.00357142857142938,0.00357142857142938,0.00357142857142938
"PELT AR1 approximate",2606,64,0.00537178493107781,0.00541666666666648,0.00540000000000305,0.00549999999999784
"PELT AR1 approximate",3219,64,0.00805500372023765,0.00828571428571325,0.00828571428571325,0.00828571428571325
"PELT AR1 approximate",3974,64,0.0122324404761906,0.0127999999999929,0.0127999999999929,0.0128000000000043
"PELT AR1 approximate",4908,64,0.0186213541666673,0.0193333333333404,0.0193333333333309,0.0196666666666564
"PELT AR1 approximate",6060,64,0.0291354166666626,0.0299999999999727,0.0299999999999727,0.0300000000000011
"PELT AR1 approximate",7484,64,0.0441380208333353,0.0455000000000041,0.0455000000000041,0.0455000000000041
"PELT AR1 approximate",9242,64,0.0675546874999942,0.06899999999996,0.06899999999996,0.0690000000000737
"PELT AR1 approximate",11412,64,0.104718749999996,0.105000000000018,0.105000000000018,0.105000000000018
"PELT AR1 approximate",14092,64,0.154125000000006,0.159999999999968,0.158999999999992,0.159999999999968
"PELT AR1 approximate",17402,64,0.236265624999994,0.242999999999938,0.241999999999962,0.242999999999995
"PELT AR1 approximate",21489,64,0.366578124999995,0.369000000000028,0.368499999999983,0.369000000000028
"PELT AR1 approximate",26536,64,0.540359375000005,0.559999999999945,0.559000000000083,0.560000000000059
"PELT AR1 approximate",32768,64,0.831781249999999,0.850500000000011,0.850000000000023,0.850999999999999
"PELT inflated",256,64,0.000270692378139952,0.000272321428571428,0.000260714285714287,0.000273684210526316
"PELT inflated",316,64,0.000301386211444806,0.000296428571428566,0.000292857142857133,0.000299553571428577
"PELT inflated",390,64,0.000355579088879866,0.000345643939393943,0.000339393939393924,0.000357575757575742
"PELT inflated",482,64,0.000427813768262996,0.000413636363636401,0.0004107142857143,0.000417424242424262
"PELT inflated",595,64,0.00053953784496754,0.000519374999999957,0.000518181818181967,0.000536363636363614
"PELT inflated",735,64,0.000756870603354993,0.000727272727272841,0.000723202110389512,0.000734253246753295
"PELT inflated",908,64,0.00100105181277056,0.000964285714285666,0.000946428571428523,0.000991071428571344
"PELT inflated",1121,64,0.00139476576740151,0.00132811004784669,0.00132142857142879,0.00135714285714274
"PELT inflated",1384,64,0.00205810424498741,0.00196428571428596,0.00192105263157989,0.00202631578947364
"PELT inflated",1709,64,0.00296944705513772,0.00289473684210413,0.00284210526315651,0.00289999999999964
"PELT inflated",2111,64,0.0047866781655844,0.0045833333333339,0.00450000000000017,0.00475000000000136
"PELT inflated",2606,64,0.00673244047619052,0.00649999999999764,0.00637500000000202,0.00665000000000191
"PELT inflated",3219,64,0.0101301897321424,0.00974999999999682,0.00949999999999989,0.0101670833333298
"PELT inflated",3974,64,0.0152929687499995,0.0147499999999994,0.0147489583333257,0.0152499999999947
"PELT inflated",4908,64,0.0228919270833316,0.0223333333333358,0.0219999999999914,0.022500000000008
"PELT inflated",6060,64,0.0344166666666662,0.0339999999999918,0.0339999999999918,0.0339999999999918
"PELT inflated",7484,64,0.0545937499999969,0.0529999999999973,0.0520000000000209,0.0539999999999736
"PELT inflated",9242,64,0.0810156249999991,0.0790000000000646,0.0789999999999509,0.0800000000000409
"PELT inflated",11412,64,0.120406249999991,0.119000000000028,0.119000000000028,0.120000000000005
"PELT inflated",14092,64,0.182718749999999,0.18100000000004,0.180999999999926,0.18199999999996
"PELT inflated",17402,64,0.278187500000001,0.277499999999975,0.276000000000067,0.278999999999996
"PELT inflated",21489,64,0.418937500000011,0.41700000000003,0.41599999999994,0.418999999999983
"PELT inflated",26536,64,0.629531249999999,0.627500000000055,0.625999999999976,0.629000000000019
"PELT inflated",32768,64,0.971921874999998,0.970000000000027,0.969000000000051,0.971499999999992
"SVP AR1Focus + AR1 cost / right / c = 1.950",256,64,6.31370458283496e-05,6.30474624060148e-05,6.25000000000009e-05,6.33928571428581e-05
"SVP AR1Focus + AR1 cost / right / c = 1.950",316,64,0.00013827738227468,6.7857142857137e-05,6.74999999999937e-05,6.78571428571433e-05
"SVP AR1Focus + AR1 cost / right / c = 1.950",390,64,7.42482099373847e-05,7.45454545454488e-05,7.40259740259584e-05,7.45454545454617e-05
