"experiment","n","k","rep","method","time","batch","block_elapsed","detected"
"vary_n",256,0,1,"SVP Gaussian / right / c = 1.642",7.27272727272727e-05,1100,0.08,1
"vary_n",256,0,1,"SVP Gaussian / none / c = 0.968",9.0909090909091e-05,605,0.055,1
"vary_n",256,0,1,"SVP Gaussian / both / c = 1.987",0.001,55,0.055,1
"vary_n",256,0,1,"PELT",0.000268421052631579,190,0.051,1
"vary_n",256,0,2,"SVP Gaussian / none / c = 0.968",0.000148214285714286,560,0.083,1
"vary_n",256,0,2,"PELT",0.000271052631578947,380,0.103,3
"vary_n",256,0,2,"SVP Gaussian / right / c = 1.642",0.000351515151515152,165,0.058,2
"vary_n",256,0,2,"SVP Gaussian / both / c = 1.987",0.000458333333333333,168,0.077,2
"vary_n",256,0,3,"SVP Gaussian / none / c = 0.968",6.72727272727273e-05,1100,0.0740000000000001,1
"vary_n",256,0,3,"SVP Gaussian / right / c = 1.642",6.54545454545455e-05,1100,0.0720000000000001,1
"vary_n",256,0,3,"SVP Gaussian / both / c = 1.987",0.001,56,0.056,1
"vary_n",256,0,3,"PELT",0.000276785714285714,224,0.0619999999999998,1
"vary_n",256,0,4,"SVP Gaussian / none / c = 0.968",0.000140625,448,0.0630000000000002,1
"vary_n",256,0,4,"SVP Gaussian / both / c = 1.987",0.000976190476190474,84,0.0819999999999999,1
"vary_n",256,0,4,"PELT",0.000276785714285716,224,0.0620000000000003,1
"vary_n",256,0,4,"SVP Gaussian / right / c = 1.642",6.54545454545455e-05,1100,0.0720000000000001,1
"vary_n",256,0,5,"SVP Gaussian / right / c = 1.642",6.29999999999997e-05,1000,0.0629999999999997,1
"vary_n",256,0,5,"SVP Gaussian / both / c = 1.987",0.000940476190476187,84,0.0789999999999997,1
"vary_n",256,0,5,"SVP Gaussian / none / c = 0.968",6.79425837320576e-05,1045,0.0710000000000002,1
"vary_n",256,0,5,"PELT",0.000273684210526316,190,0.052,1
"vary_n",256,0,6,"SVP Gaussian / none / c = 0.968",6.60714285714288e-05,1120,0.0740000000000003,1
"vary_n",256,0,6,"SVP Gaussian / right / c = 1.642",6.42857142857143e-05,1120,0.0720000000000001,1
"vary_n",256,0,6,"PELT",0.000254464285714285,224,0.0569999999999999,1
"vary_n",256,0,6,"SVP Gaussian / both / c = 1.987",0.000901785714285714,112,0.101,1
"vary_n",256,0,7,"SVP Gaussian / right / c = 1.642",6.42857142857143e-05,1120,0.0720000000000001,1
"vary_n",256,0,7,"SVP Gaussian / both / c = 1.987",0.000945454545454538,55,0.0519999999999996,1
"vary_n",256,0,7,"PELT",0.000263157894736842,380,0.1,1
"vary_n",256,0,7,"SVP Gaussian / none / c = 0.968",6.49999999999995e-05,800,0.0519999999999996,1
"vary_n",256,0,8,"SVP Gaussian / both / c = 1.987",0.000963636363636362,55,0.0529999999999999,1
"vary_n",256,0,8,"SVP Gaussian / right / c = 1.642",0.000754545454545456,110,0.0830000000000002,2
"vary_n",256,0,8,"SVP Gaussian / none / c = 0.968",0.00041212121212121,165,0.0679999999999996,2
"vary_n",256,0,8,"PELT",0.00026578947368421,380,0.101,2
"vary_n",256,0,9,"SVP Gaussian / none / c = 0.968",0.000192857142857144,280,0.0540000000000003,1
"vary_n",256,0,9,"SVP Gaussian / right / c = 1.642",6.42857142857143e-05,1120,0.0720000000000001,1
"vary_n",256,0,9,"SVP Gaussian / both / c = 1.987",0.000518181818181814,110,0.0569999999999995,2
"vary_n",256,0,9,"PELT",0.000221818181818182,275,0.0609999999999999,1
"vary_n",256,0,10,"SVP Gaussian / right / c = 1.642",6.48496240601503e-05,1064,0.069,1
"vary_n",256,0,10,"PELT",0.00026842105263158,190,0.0510000000000002,1
"vary_n",256,0,10,"SVP Gaussian / none / c = 0.968",6.62499999999999e-05,800,0.0529999999999999,1
"vary_n",256,0,10,"SVP Gaussian / both / c = 1.987",0.00101785714285715,56,0.0570000000000004,1
"vary_n",256,0,11,"SVP Gaussian / none / c = 0.968",0.000228947368421052,380,0.0869999999999997,1
"vary_n",256,0,11,"SVP Gaussian / both / c = 1.987",0.000910714285714288,56,0.0510000000000002,1
"vary_n",256,0,11,"SVP Gaussian / right / c = 1.642",6.45454545454551e-05,1100,0.0710000000000006,1
"vary_n",256,0,11,"PELT",0.000239999999999999,275,0.0659999999999998,1
"vary_n",256,0,12,"SVP Gaussian / none / c = 0.968",6.69642857142859e-05,1120,0.0750000000000002,1
"vary_n",256,0,12,"PELT",0.000268421052631577,380,0.101999999999999,1
"vary_n",256,0,12,"SVP Gaussian / right / c = 1.642",6.45454545454543e-05,1100,0.0709999999999997,1
"vary_n",256,0,12,"SVP Gaussian / both / c = 1.987",0.00088095238095239,84,0.0740000000000007,1
"vary_n",307,0,1,"SVP Gaussian / right / c = 1.642",6.81818181818183e-05,1100,0.0750000000000002,1
"vary_n",307,0,1,"PELT",0.000286363636363635,220,0.0629999999999997,1
"vary_n",307,0,1,"SVP Gaussian / both / c = 1.987",0.00139285714285713,56,0.0779999999999994,1
"vary_n",307,0,1,"SVP Gaussian / none / c = 0.968",0.000158928571428572,560,0.0890000000000004,1
"vary_n",307,0,2,"PELT",0.000246428571428571,280,0.069,1
"vary_n",307,0,2,"SVP Gaussian / both / c = 1.987",0.00139285714285715,56,0.0780000000000003,1
"vary_n",307,0,2,"SVP Gaussian / none / c = 0.968",0.000218421052631579,380,0.0830000000000002,1
"vary_n",307,0,2,"SVP Gaussian / right / c = 1.642",6.87500000000007e-05,1120,0.0770000000000008,1
"vary_n",307,0,3,"SVP Gaussian / both / c = 1.987",0.001375,56,0.077,1
"vary_n",307,0,3,"PELT",0.00027857142857143,280,0.0780000000000003,1
"vary_n",307,0,3,"SVP Gaussian / none / c = 0.968",6.875e-05,1120,0.077,1
"vary_n",307,0,3,"SVP Gaussian / right / c = 1.642",6.78571428571433e-05,1120,0.0760000000000005,1
"vary_n",307,0,4,"SVP Gaussian / right / c = 1.642",6.78571428571433e-05,1120,0.0760000000000005,1
"vary_n",307,0,4,"SVP Gaussian / none / c = 0.968",7.05357142857148e-05,1120,0.0790000000000006,1
"vary_n",307,0,4,"SVP Gaussian / both / c = 1.987",0.00144642857142856,56,0.0809999999999995,1
"vary_n",307,0,4,"PELT",0.000299999999999999,280,0.0839999999999996,1
"vary_n",307,0,5,"SVP Gaussian / both / c = 1.987",0.00135714285714287,56,0.0760000000000005,1
"vary_n",307,0,5,"SVP Gaussian / right / c = 1.642",6.78571428571433e-05,1120,0.0760000000000005,1
"vary_n",307,0,5,"PELT",0.000281818181818179,220,0.0619999999999994,1
"vary_n",307,0,5,"SVP Gaussian / none / c = 0.968",7.01530612244917e-05,784,0.0550000000000015,1
"vary_n",307,0,6,"SVP Gaussian / none / c = 0.968",7.23214285714297e-05,1120,0.0810000000000013,1
"vary_n",307,0,6,"SVP Gaussian / both / c = 1.987",0.00133928571428573,56,0.0750000000000011,1
"vary_n",307,0,6,"PELT",0.000285714285714286,280,0.0800000000000001,1
"vary_n",307,0,6,"SVP Gaussian / right / c = 1.642",6.96428571428566e-05,1120,0.0779999999999994,1
"vary_n",307,0,7,"SVP Gaussian / none / c = 0.968",7.37500000000013e-05,800,0.059000000000001,1
"vary_n",307,0,7,"SVP Gaussian / both / c = 1.987",0.00139285714285713,56,0.0779999999999994,1
"vary_n",307,0,7,"SVP Gaussian / right / c = 1.642",6.76691729323317e-05,1064,0.072000000000001,1
"vary_n",307,0,7,"PELT",0.000277272727272727,220,0.0609999999999999,1
"vary_n",307,0,8,"SVP Gaussian / both / c = 1.987",0.0014107142857143,56,0.0790000000000006,1
"vary_n",307,0,8,"PELT",0.000267857142857145,224,0.0600000000000005,1
"vary_n",307,0,8,"SVP Gaussian / right / c = 1.642",6.81818181818191e-05,1100,0.0750000000000011,1
"vary_n",307,0,8,"SVP Gaussian / none / c = 0.968",0.000278947368421057,190,0.0530000000000008,1
"vary_n",307,0,9,"SVP Gaussian / none / c = 0.968",0.000202380952380957,336,0.0680000000000014,1
"vary_n",307,0,9,"PELT",0.000244736842105268,380,0.0930000000000017,1
"vary_n",307,0,9,"SVP Gaussian / both / c = 1.987",0.00142857142857143,56,0.0800000000000001,1
"vary_n",307,0,9,"SVP Gaussian / right / c = 1.642",6.87499999999996e-05,800,0.0549999999999997,1
"vary_n",307,0,10,"SVP Gaussian / both / c = 1.987",0.00139285714285713,56,0.0779999999999994,1
"vary_n",307,0,10,"PELT",0.000242105263157896,380,0.0920000000000005,1
"vary_n",307,0,10,"SVP Gaussian / right / c = 1.642",6.78571428571433e-05,1120,0.0760000000000005,1
"vary_n",307,0,10,"SVP Gaussian / none / c = 0.968",0.000118181818181817,550,0.0649999999999995,1
"vary_n",307,0,11,"SVP Gaussian / right / c = 1.642",6.875e-05,1120,0.077,1
"vary_n",307,0,11,"SVP Gaussian / none / c = 0.968",6.90909090909096e-05,1100,0.0760000000000005,1
"vary_n",307,0,11,"PELT",0.000295454545454543,220,0.0649999999999995,1
"vary_n",307,0,11,"SVP Gaussian / both / c = 1.987",0.00144642857142856,56,0.0809999999999995,1
"vary_n",307,0,12,"PELT",0.000250000000000002,380,0.0950000000000006,1
"vary_n",307,0,12,"SVP Gaussian / none / c = 0.968",0.000185714285714284,280,0.0519999999999996,1
"vary_n",307,0,12,"SVP Gaussian / both / c = 1.987",0.001375,56,0.077,1
"vary_n",307,0,12,"SVP Gaussian / right / c = 1.642",6.75000000000003e-05,800,0.0540000000000003,1
"vary_n",368,0,1,"SVP Gaussian / none / c = 0.968",0.000267857142857145,224,0.0600000000000005,1
"vary_n",368,0,1,"PELT",0.000339285714285706,168,0.0569999999999986,1
"vary_n",368,0,1,"SVP Gaussian / right / c = 1.642",7.49999999999997e-05,1120,0.0839999999999996,1
"vary_n",368,0,1,"SVP Gaussian / both / c = 1.987",0.00214285714285716,28,0.0600000000000005,1
"vary_n",368,0,2,"PELT",0.000286363636363631,220,0.0629999999999988,1
"vary_n",368,0,2,"SVP Gaussian / both / c = 1.987",0.00221428571428576,28,0.0620000000000012,1
"vary_n",368,0,2,"SVP Gaussian / right / c = 1.642",7.35714285714297e-05,1400,0.103000000000002,1
"vary_n",368,0,2,"SVP Gaussian / none / c = 0.968",0.000289473684210534,190,0.0550000000000015,1
