"method","detected","replicates","mean_time","median_time","lower","upper"
"PELT",1,12,0.0727083333333333,0.085,0.0525,0.0900000000000001
"PELT",2,12,0.0460833333333333,0.0457500000000001,0.0442499999999999,0.0489999999999998
"PELT",3,12,0.0263333333333333,0.0259999999999998,0.0240000000000001,0.0290000000000001
"PELT",4,12,0.0216944444444444,0.0213333333333334,0.0203333333333333,0.0225416666666667
"PELT",5,12,0.0177916666666667,0.017125,0.0164583333333335,0.0190833333333334
"PELT",6,12,0.0139652777777778,0.0141249999999999,0.0131250000000001,0.0145833333333332
"PELT",7,12,0.0125736111111112,0.0124500000000001,0.0118124999999999,0.0130166666666667
"PELT",8,12,0.0110319444444444,0.0110625,0.0107749999999999,0.0111833333333333
"PELT",9,11,0.0100606060606061,0.0100000000000001,0.00983333333333321,0.0103
"PELT",10,13,0.0091554945054945,0.00900000000000004,0.00883333333333317,0.00916666666666662
"PELT",11,11,0.00817727272727273,0.00820000000000007,0.00800000000000013,0.00828571428571426
"PELT",12,13,0.00776968864468848,0.0077142857142855,0.00757142857142818,0.00799999999999963
"PELT",13,12,0.00730505952380956,0.00714285714285724,0.00704166666666669,0.00753571428571434
"PELT",14,12,0.00680386904761896,0.00671428571428567,0.00664285714285714,0.00686607142857141
"PELT",15,12,0.00633571428571427,0.00629285714285712,0.00625000000000009,0.00643749999999981
"PELT",16,12,0.00593958333333336,0.0058874999999998,0.00580625000000017,0.00599553571428582
"PELT",17,11,0.00616428571428566,0.00587500000000007,0.00568749999999985,0.0067857142857142
"PELT",18,13,0.00535508241758238,0.00535714285714281,0.0052857142857144,0.00539999999999985
"PELT",19,12,0.00513955176767673,0.00509166666666658,0.00503125000000008,0.00519999999999996
"PELT",20,12,0.0048888888888889,0.00487499999999992,0.00483333333333332,0.0049270833333334
"PELT",21,11,0.00464913911845728,0.00463636363636317,0.00458333333333361,0.00468750000000018
"PELT",22,13,0.00456339077589081,0.00454545454545429,0.00450000000000017,0.00457142857142858
"PELT",23,11,0.00446724714679261,0.00435714285714285,0.0043333333333333,0.00440909090909065
"PELT",24,13,0.00420809190809203,0.00416666666666702,0.00414999999999992,0.00421428571428554
"PELT",25,12,0.00403415404040409,0.0040435606060606,0.00399999999999993,0.0040704545454547
"PELT",26,12,0.00389240620490624,0.0038603896103897,0.003857142857143,0.00392857142857141
"PELT",27,12,0.00376781204906207,0.00378571428571434,0.00374999999999989,0.00378869047619065
"PELT",28,12,0.00371160714285716,0.00371130952380948,0.00364285714285728,0.00371428571428594
"PELT",29,10,0.00357127477785371,0.00355844155844165,0.00353571428571442,0.00360714285714282
"PELT",30,13,0.00352472527472532,0.00349999999999996,0.00349999999999996,0.00357142857142862
"PELT",31,12,0.0033887322472849,0.0033928571428571,0.00336842105263158,0.00339285714285736
"PELT",32,13,0.0034698853777802,0.00331578947368434,0.00328571428571424,0.0034210526315792
"PELT",33,12,0.00319533208020046,0.00321052631578947,0.00316823308270693,0.00321052631578947
"PELT",34,11,0.00317105263157896,0.00314285714285718,0.00310526315789461,0.00317857142857163
"PELT",35,12,0.00315554511278189,0.00306203007518794,0.00305263157894736,0.00310526315789461
"PELT",36,12,0.00299138471177944,0.0029999999999998,0.00294736842105287,0.00300000000000011
"PELT",37,13,0.00294606709080392,0.00294736842105249,0.00289473684210525,0.00296428571428566
"PELT",38,12,0.00287306808688383,0.00289473684210525,0.002842105263158,0.00289473684210525
"PELT",39,11,0.00282218977195051,0.00282142857142859,0.00278947368421076,0.00284210526315763
"PELT",40,13,0.0027689415847311,0.00273684210526314,0.00273684210526314,0.00278947368421038
"PELT",41,11,0.00270162493009383,0.00268421052631589,0.00268421052631589,0.00272727272727283
"PELT",42,13,0.00276764025448243,0.00268421052631589,0.00267857142857153,0.00268421052631589
