"method","n","replicates","mean_time","median_time","lower","upper"
"PELT",256,12,0.000262400105377079,0.000268421052631578,0.000258811090225564,0.000272368421052632
"PELT",307,12,0.00027136021872864,0.000277922077922078,0.000248214285714287,0.00028603896103896
"PELT",368,12,0.000312094867851445,0.000315037593984961,0.000290909090909083,0.000330357142857134
"PELT",440,12,0.000362288059163057,0.000366666666666654,0.000347023809523813,0.000390422077922075
"PELT",528,12,0.00041176677489178,0.000416666666666673,0.000386255411255395,0.000439285714285731
"PELT",632,12,0.000554565746753247,0.000550852272727279,0.000540503246753267,0.000572077922077901
"PELT",758,12,0.000655911796536789,0.000678571428571433,0.000612743506493487,0.000711688311688306
"PELT",908,12,0.000900730519480504,0.000937499999999972,0.000732142857142864,0.00102678571428573
"PELT",1088,12,0.00102877933470037,0.000964285714285708,0.000860639204545403,0.00125227272727269
"PELT",1303,12,0.00146326659451657,0.00153571428571432,0.00115178571428569,0.00182142857142839
"PELT",1561,12,0.00174240288220564,0.0015803571428572,0.00138486842105277,0.00207894736842126
"PELT",1871,12,0.00281460374420895,0.00307988721804473,0.00236842105263167,0.00325074404761933
"PELT",2242,12,0.0040387673729779,0.00441666666666703,0.00336904761904776,0.00460606060606037
"PELT",2686,12,0.00532620851370837,0.00508749999999996,0.00421428571428554,0.00668750000000021
"PELT",3219,12,0.00763105158730156,0.0075624999999997,0.0062428571428568,0.00935000000000012
"PELT",3856,12,0.0110109126984126,0.0117083333333336,0.00921428571428606,0.0131249999999994
"PELT",4621,12,0.0147753968253969,0.0149999999999988,0.0131000000000011,0.016333333333332
"PELT",5537,12,0.0230694444444438,0.02558333333333,0.0189583333333321,0.0274999999999999
"PELT",6634,12,0.0343888888888881,0.0364999999999931,0.0287499999999952,0.0392500000000027
"PELT",7949,12,0.0482083333333326,0.0477500000000077,0.0375000000000014,0.0574999999999903
"PELT",9524,12,0.0645000000000024,0.0625,0.0477499999999935,0.0805000000000007
"PELT",11412,12,0.0904166666666697,0.0859999999999985,0.0729999999999933,0.116500000000002
"PELT",13674,12,0.149166666666666,0.162499999999994,0.129500000000021,0.169499999999999
"PELT",16384,12,0.200333333333333,0.210500000000025,0.153500000000008,0.248500000000007
"SVP Gaussian / both / c = 1.987",256,12,0.000876131854256854,0.000942965367965363,0.000891369047619052,0.000988095238095238
"SVP Gaussian / both / c = 1.987",307,12,0.00139583333333333,0.00139285714285713,0.001375,0.00141964285714286
"SVP Gaussian / both / c = 1.987",368,12,0.00212155388471176,0.00210714285714286,0.00203571428571424,0.00219924812030075
"SVP Gaussian / both / c = 1.987",440,12,0.00315335213032584,0.00312500000000001,0.00303571428571432,0.00328289473684209
"SVP Gaussian / both / c = 1.987",528,12,0.00467424242424242,0.00465151515151528,0.00458333333333331,0.00475000000000006
"SVP Gaussian / both / c = 1.987",632,12,0.00685565476190464,0.00675000000000026,0.00675000000000026,0.00699999999999967
"SVP Gaussian / both / c = 1.987",758,12,0.00999722222222241,0.0100000000000004,0.00966666666666664,0.0102666666666667
"SVP Gaussian / both / c = 1.987",908,12,0.0147291666666668,0.0147500000000003,0.0142500000000005,0.0151250000000003
"SVP Gaussian / both / c = 1.987",1088,12,0.0212222222222215,0.0211666666666659,0.0206666666666659,0.0216666666666659
"SVP Gaussian / both / c = 1.987",1303,12,0.0307083333333328,0.0309999999999988,0.0302500000000006,0.0309999999999988
"SVP Gaussian / both / c = 1.987",1561,12,0.0443333333333327,0.0440000000000005,0.0434999999999963,0.0445000000000029
"SVP Gaussian / both / c = 1.987",1871,12,0.0660000000000013,0.0660000000000025,0.0649999999999977,0.0670000000000002
"SVP Gaussian / both / c = 1.987",2242,12,0.0956666666666663,0.0955000000000084,0.0944999999999965,0.0964999999999989
"SVP Gaussian / both / c = 1.987",2686,12,0.140333333333332,0.140000000000001,0.138999999999996,0.141500000000001
"SVP Gaussian / both / c = 1.987",3219,12,0.192916666666668,0.1995,0.197499999999998,0.203000000000003
"SVP Gaussian / both / c = 1.987",3856,12,0.293583333333337,0.294500000000006,0.289999999999999,0.295999999999999
"SVP Gaussian / both / c = 1.987",4621,12,0.427666666666667,0.429499999999997,0.417999999999992,0.434000000000005
"SVP Gaussian / both / c = 1.987",5537,12,0.617833333333333,0.615000000000002,0.609499999999997,0.625500000000002
"SVP Gaussian / both / c = 1.987",6634,12,0.885999999999997,0.881999999999998,0.873999999999995,0.892999999999986
"SVP Gaussian / both / c = 1.987",7949,12,1.28708333333333,1.286,1.271,1.3035
"SVP Gaussian / both / c = 1.987",9524,12,1.8635,1.85250000000001,1.83200000000001,1.8965
"SVP Gaussian / both / c = 1.987",11412,12,2.698,2.6985,2.66249999999999,2.7175
"SVP Gaussian / both / c = 1.987",13674,12,3.93116666666666,3.91250000000001,3.88550000000002,3.94
"SVP Gaussian / both / c = 1.987",16384,12,5.78275,5.7765,5.7045,5.86149999999998
"SVP Gaussian / none / c = 0.968",256,48,0.000147456243337707,0.000134821428571286,6.789986329461e-05,0.000155357142857252
"SVP Gaussian / none / c = 0.968",307,48,0.000154759363574023,0.000123823051948043,7.23214285714865e-05,0.000165978954081768
"SVP Gaussian / none / c = 0.968",368,48,0.000169009219816336,0.000103368506493388,8.33360389611169e-05,0.000164802631578946
"SVP Gaussian / none / c = 0.968",440,48,0.000239256471129081,0.000211607142856707,9.28571428573832e-05,0.000300000000000141
"SVP Gaussian / none / c = 0.968",528,48,0.000349741674854564,0.000250000000000179,0.000114545454545452,0.00032388414217336
"SVP Gaussian / none / c = 0.968",632,48,0.000327582758980732,0.000169642857142906,0.000116937905844149,0.000282894736842324
"SVP Gaussian / none / c = 0.968",758,48,0.000495233968562441,0.000293045112781671,0.000117857142857198,0.000575909090909528
"SVP Gaussian / none / c = 0.968",908,48,0.000791888130600915,0.000458333333332873,0.000131249999999942,0.000955357142856883
"SVP Gaussian / none / c = 0.968",1088,48,0.0011886900430529,0.000834821428570847,0.000397186147185931,0.0017326245300748
"SVP Gaussian / none / c = 0.968",1303,48,0.00119119443630727,0.000426461038961191,0.000249999999999997,0.0012321428571462
"SVP Gaussian / none / c = 0.968",1561,48,0.00181671018811261,0.000982142857143994,0.000193695887445958,0.00186057330827066
"SVP Gaussian / none / c = 0.968",1871,48,0.00372880897793816,0.0035714285714342,0.00234210526315636,0.00458613636364134
"SVP Gaussian / none / c = 0.968",2242,48,0.00414393654590923,0.00418421052631333,0.00034545454545416,0.00590625000000244
