"method","k","replicates","mean_time","median_time","lower","upper"
"PELT",0,12,0.0727083333333333,0.085,0.0525,0.0900000000000001
"PELT",1,12,0.0460833333333333,0.0457500000000001,0.0442499999999999,0.0489999999999998
"PELT",2,12,0.0263333333333333,0.0259999999999998,0.0240000000000001,0.0290000000000001
"PELT",3,12,0.0216944444444444,0.0213333333333334,0.0203333333333333,0.0225416666666667
"PELT",4,12,0.0177916666666667,0.017125,0.0164583333333335,0.0190833333333334
"PELT",5,12,0.0139652777777778,0.0141249999999999,0.0131250000000001,0.0145833333333332
"PELT",6,12,0.0125736111111112,0.0124500000000001,0.0118124999999999,0.0130166666666667
"PELT",7,12,0.0110319444444444,0.0110625,0.0107749999999999,0.0111833333333333
"PELT",8,12,0.0100555555555556,0.0100000000000001,0.00991666666666661,0.01025
"PELT",9,12,0.00908511904761903,0.00900000000000001,0.00881666666666655,0.00916666666666662
"PELT",10,12,0.00817638888888889,0.00818333333333333,0.00807142857142854,0.00828571428571426
"PELT",11,12,0.00773660714285698,0.0077142857142855,0.00757142857142818,0.00785714285714282
"PELT",12,12,0.00730505952380956,0.00714285714285724,0.00704166666666669,0.00753571428571434
"PELT",13,12,0.00680386904761896,0.00671428571428567,0.00664285714285714,0.00686607142857141
"PELT",14,12,0.00633571428571427,0.00629285714285712,0.00625000000000009,0.00643749999999981
"PELT",15,12,0.00593958333333336,0.0058874999999998,0.00580625000000017,0.00599553571428582
"PELT",16,12,0.00611726190476186,0.00578749999999997,0.00564374999999997,0.00653571428571428
"PELT",17,12,0.00533467261904757,0.00532857142857144,0.0052857142857144,0.00538749999999988
"PELT",18,12,0.00513955176767673,0.00509166666666658,0.00503125000000008,0.00519999999999996
"PELT",19,12,0.0048888888888889,0.00487499999999992,0.00483333333333332,0.0049270833333334
"PELT",20,12,0.00464807449494944,0.00463636363636317,0.00459166666666686,0.00467708333333346
"PELT",21,12,0.00455730970418478,0.00452272727272723,0.00446875000000002,0.0045669642857143
"PELT",22,12,0.00446618867243867,0.00436038961038969,0.0043333333333333,0.00443181818181803
"PELT",23,12,0.00418755411255425,0.00416666666666702,0.00414642857142852,0.00420714285714285
"PELT",24,12,0.00403415404040409,0.0040435606060606,0.00399999999999993,0.0040704545454547
"PELT",25,12,0.00389240620490624,0.0038603896103897,0.003857142857143,0.00392857142857141
"PELT",26,12,0.00376781204906207,0.00378571428571434,0.00374999999999989,0.00378869047619065
"PELT",27,12,0.00371160714285716,0.00371130952380948,0.00364285714285728,0.00371428571428594
"PELT",28,12,0.00357490316700844,0.00357518796992497,0.00353571428571442,0.00360714285714282
"PELT",29,12,0.00351127819548875,0.00349999999999996,0.00348684210526321,0.00353101503759393
"PELT",30,12,0.00337338137009193,0.00338063909774434,0.00336278195488724,0.00339285714285723
"PELT",31,12,0.00348272670312152,0.00331578947368434,0.00327922077922082,0.00344736842105282
"PELT",32,12,0.00319533208020046,0.00321052631578947,0.00316823308270693,0.00321052631578947
"PELT",33,12,0.0031655701754386,0.00314285714285718,0.00310526315789461,0.00316823308270693
"PELT",34,12,0.0031557017543859,0.00306203007518794,0.00305263157894736,0.00310620300751866
"PELT",35,12,0.00298245614035089,0.0029999999999998,0.00294736842105287,0.00300000000000011
"PELT",36,12,0.00294157268170424,0.00294736842105249,0.00289473684210525,0.00295582706766926
"PELT",37,12,0.00287306808688383,0.00289473684210525,0.00284210526315782,0.00289473684210525
"PELT",38,12,0.0028194634313055,0.00282142857142859,0.00278947368421075,0.00284210526315763
"PELT",39,12,0.00276723057644116,0.00273684210526314,0.00273684210526314,0.00278571428571439
"PELT",40,12,0.002700173729779,0.00268421052631589,0.00268421052631589,0.00272077922077928
"PELT",41,12,0.00277459273182964,0.00268421052631589,0.00267857142857153,0.00269736842105261
"PELT",42,12,0.0027791353383459,0.00264285714285707,0.00263157894736846,0.00267105263157899
"PELT",43,12,0.00267669172932333,0.00260526315789484,0.00259210526315793,0.0026250000000001
"PELT",44,12,0.00267935463659152,0.0025526315789474,0.00253571428571421,0.00257142857142867
"PELT",45,12,0.00258348997493745,0.00250000000000026,0.00250000000000012,0.00252631578947378
"PELT",46,12,0.00254808897243113,0.00247368421052616,0.00246428571428581,0.00248684210526325
"PELT",47,12,0.00251488095238099,0.00244736842105272,0.00242857142857135,0.00245582706766927
"PELT",48,12,0.00257910401002515,0.00239473684210529,0.0023928571428574,0.00249154135338347
"PELT",49,12,0.0025067355889725,0.00236842105263167,0.00235714285714295,0.00243327067669171
"PELT",50,12,0.00234163533834587,0.00234210526315786,0.00233176691729317,0.00234962406015059
"PELT",51,12,0.00242355889724312,0.00232142857142849,0.00230263157894752,0.00234492481202989
"PELT",52,12,0.00243060776942357,0.00228571428571403,0.0022631578947368,0.00228759398496239
"PELT",53,12,0.00235745614035094,0.00225000000000009,0.0022255639097745,0.00234116541353401
"PELT",54,12,0.00227725563909776,0.00221428571428563,0.00221052631578956,0.00221428571428588
"PELT",55,12,0.00228775062656646,0.00218421052631575,0.00217857142857168,0.00221428571428563
"PELT",56,12,0.00230968045112778,0.00215789473684194,0.00214285714285722,0.00215789473684231
"PELT",57,12,0.00215225563909769,0.0021315789473685,0.00211936090225563,0.00214285714285722
"PELT",58,12,0.00210682957393484,0.00210714285714277,0.00210620300751873,0.00210714285714277
"PELT",59,12,0.0020839598997493,0.00207518796992485,0.00207142857142857,0.00210714285714277
"PELT",60,12,0.00206046365914779,0.00205263157894745,0.00205263157894726,0.00207142857142857
"PELT",61,12,0.00205012531328329,0.00203571428571436,0.00203571428571436,0.0020441729323309
"PELT",62,12,0.00201174812030076,0.00200000000000041,0.00199999999999991,0.00202631578947364
"PELT",63,12,0.00209288847117798,0.00199999999999991,0.00198684210526311,0.00200000000000016
"PELT",64,12,0.0019628759398497,0.00196428571428596,0.0019642857142857,0.00196428571428596
"PELT",65,12,0.00195332080200511,0.0019642857142857,0.00193796992481204,0.00196428571428596
"PELT",66,12,0.00192888471177942,0.0019285714285715,0.00192857142857099,0.0019285714285715
"PELT",67,12,0.0019309210526316,0.0019285714285715,0.00190695488721816,0.0019285714285715
"PELT",68,12,0.00190476190476195,0.00189285714285705,0.00189285714285705,0.00189285714285755
"PELT",69,12,0.00188690476190485,0.00189285714285705,0.0018571428571431,0.00189285714285755
"PELT",70,12,0.00185510651629089,0.0018571428571431,0.0018571428571431,0.0018571428571431
"PELT",71,12,0.00184523809523815,0.00182142857142864,0.00182142857142864,0.0018571428571431
"PELT",72,12,0.00189082080200501,0.00183928571428561,0.00182142857142864,0.00194642857142873
"PELT",73,12,0.00185369674185478,0.00181860902255646,0.00179464285714305,0.00182142857142864
"PELT",74,12,0.00181250000000005,0.00181250000000003,0.00178571428571456,0.00182142857142864
"PELT",75,12,0.00179315476190482,0.0017767857142857,0.00176785714285721,0.00178571428571456
"PELT",76,12,0.00179315476190478,0.00176785714285721,0.00176785714285708,0.00182142857142864
"PELT",77,12,0.00179840367965366,0.00174999999999998,0.00174999999999998,0.00175681818181812
"PELT",78,12,0.00175744047619054,0.00174107142857149,0.00173214285714288,0.00176785714285721
"PELT",79,12,0.00172620329232168,0.00172321428571427,0.00171428571428565,0.00173449248120293
"PELT",80,12,0.00171428571428572,0.00171428571428578,0.00171428571428553,0.00171428571428578
"PELT",81,12,0.00177851731601736,0.00171168831168842,0.00169642857142868,0.00179464285714293
"PELT",82,12,0.00168257575757581,0.00167857142857158,0.00167857142857132,0.00169366883116898
"PELT",83,12,0.00170292207792215,0.00167857142857132,0.0016607142857146,0.0017025974025976
"PELT",84,12,0.00176885822510833,0.0016607142857146,0.00166071428571435,0.00167857142857132
"PELT",85,12,0.00166892088174985,0.00165930451127832,0.00164285714285712,0.00166672077922106
"PELT",86,12,0.00164940476190487,0.00164285714285737,0.00162500000000015,0.00164870129870149
"PELT",87,12,0.00162543290043294,0.00162500000000015,0.00162499999999964,0.00162500000000015
"PELT",88,12,0.00169418290043295,0.00162159090909072,0.00161266233766236,0.00166085633116889
"PELT",89,12,0.00161103896103899,0.00160714285714292,0.00160714285714292,0.00161826704545452
"PELT",90,12,0.00161740288220559,0.00160620300751892,0.00158928571428569,0.00163392857142876
"PELT",91,12,0.00159434523809519,0.00159464285714279,0.00158928571428569,0.00159999999999989
"PELT",92,12,0.00166623376623367,0.0016035714285714,0.00157662337662322,0.00168181818181794
"PELT",93,12,0.00158000541125539,0.00157662337662348,0.00157142857142846,0.00158928571428569
"PELT",94,12,0.00158317099567104,0.00157142857142846,0.00155357142857174,0.00158928571428569
"PELT",95,12,0.00155992965367953,0.00155357142857149,0.00155357142857123,0.00156363636363608
"PELT",96,12,0.0016585768398268,0.00155357142857174,0.00155357142857123,0.00157646103896088
