"experiment","n","k","rep","method","time","batch","block_elapsed","detected"
"vary_n",256,0,1,"PELT",0.000342105263157894,190,0.065,27
"vary_n",256,0,1,"RFPOP",0.000171052631578948,532,0.0910000000000001,1
"vary_n",256,0,1,"SVP MedianMood / right / alpha = 0.001",0.000127272727272727,550,0.0700000000000001,1
"vary_n",256,0,1,"SVP Wilcoxon / right / c = 1.75",9.39849624060151e-05,532,0.05,1
"vary_n",256,0,2,"PELT",0.000325892857142858,224,0.0730000000000002,27
"vary_n",256,0,2,"RFPOP",0.000178571428571428,560,0.0999999999999999,1
"vary_n",256,0,2,"SVP MedianMood / right / alpha = 0.001",0.000125454545454545,550,0.069,1
"vary_n",256,0,2,"SVP Wilcoxon / right / c = 1.75",9.46428571428574e-05,560,0.0530000000000002,1
"vary_n",256,0,3,"PELT",0.000327272727272728,220,0.0720000000000001,29
"vary_n",256,0,3,"RFPOP",0.0001625,560,0.091,1
"vary_n",256,0,3,"SVP MedianMood / right / alpha = 0.001",0.000123214285714286,560,0.0690000000000002,1
"vary_n",256,0,3,"SVP Wilcoxon / right / c = 1.75",9.0909090909091e-05,550,0.05,1
"vary_n",256,0,4,"PELT",3e-04,190,0.0569999999999999,16
"vary_n",256,0,4,"RFPOP",0.000175,560,0.0979999999999999,1
"vary_n",256,0,4,"SVP MedianMood / right / alpha = 0.001",0.000122767857142857,448,0.0549999999999997,1
"vary_n",256,0,4,"SVP Wilcoxon / right / c = 1.75",9.10714285714289e-05,560,0.0510000000000002,1
"vary_n",256,0,5,"PELT",0.000294736842105263,190,0.056,17
"vary_n",256,0,5,"RFPOP",0.000167857142857143,560,0.0939999999999999,1
"vary_n",256,0,5,"SVP MedianMood / right / alpha = 0.001",0.000120535714285714,448,0.0539999999999998,1
"vary_n",256,0,5,"SVP Wilcoxon / right / c = 1.75",9.27272727272722e-05,550,0.0509999999999997,1
"vary_n",256,0,6,"PELT",0.000328571428571429,280,0.0920000000000001,32
"vary_n",256,0,6,"RFPOP",0.000169642857142857,560,0.0949999999999998,1
"vary_n",256,0,6,"SVP MedianMood / right / alpha = 0.001",0.000122767857142857,448,0.0549999999999997,1
"vary_n",256,0,6,"SVP Wilcoxon / right / c = 1.75",9.28571428571429e-05,1120,0.104,1
"vary_n",256,0,7,"PELT",0.000310526315789475,190,0.0590000000000002,24
"vary_n",256,0,7,"RFPOP",0.000153571428571428,560,0.0859999999999999,1
"vary_n",256,0,7,"SVP MedianMood / right / alpha = 0.001",0.000123214285714286,560,0.069,1
"vary_n",256,0,7,"SVP Wilcoxon / right / c = 1.75",9.10714285714281e-05,560,0.0509999999999997,1
"vary_n",256,0,8,"PELT",0.000303571428571431,224,0.0680000000000005,19
"vary_n",256,0,8,"RFPOP",0.000160714285714285,560,0.0899999999999999,1
"vary_n",256,0,8,"SVP MedianMood / right / alpha = 0.001",0.000125000000000001,560,0.0700000000000003,1
"vary_n",256,0,8,"SVP Wilcoxon / right / c = 1.75",8.9090909090909e-05,1100,0.0979999999999999,1
"vary_n",256,0,9,"PELT",0.000309090909090907,220,0.0679999999999996,19
"vary_n",256,0,9,"RFPOP",0.000157142857142857,560,0.0880000000000001,1
"vary_n",256,0,9,"SVP MedianMood / right / alpha = 0.001",0.000121428571428572,560,0.0680000000000005,1
"vary_n",256,0,9,"SVP Wilcoxon / right / c = 1.75",9.27272727272722e-05,1100,0.101999999999999,1
"vary_n",256,0,10,"PELT",0.000327272727272728,220,0.0720000000000001,35
"vary_n",256,0,10,"RFPOP",0.000164285714285715,560,0.0920000000000005,1
