"method","n","replicates","mean_time","median_time","lower","upper"
"PELT",256,64,0.000314839878460355,0.000312500000000001,0.000309090909090911,0.000313636363636359
"PELT",322,64,0.000324891797142006,0.000325000000000004,0.000321428571428571,0.00032727272727274
"PELT",405,64,0.000342782204089775,0.000339285714285761,0.000336363636363628,0.000344168019480511
"PELT",510,64,0.000363360727813856,0.000359145021645055,0.000357575757575742,0.000363636363636291
"PELT",641,64,0.000386461715367966,0.00038181818181811,0.00038181818181811,0.0003857142857143
"PELT",806,64,0.000408170773168726,0.000406601731601812,0.000400000000000083,0.000412121212121285
"PELT",1014,64,0.000443787202380954,0.00044204545454538,0.000436363636363653,0.000442424242424288
"PELT",1276,64,0.000486957183441548,0.000487424242424313,0.000478787878787926,0.000490909090909196
"PELT",1605,64,0.000542741139069265,0.000542321428571201,0.000535714285714306,0.000545454545454566
"PELT",2019,64,0.000603378652597396,0.000600000000000023,0.000594561688311457,0.000607142857143218
"PELT",2540,64,0.000725377435064944,0.000687499999999984,0.000681818181818078,0.000693737824675305
"PELT",3195,64,0.000824618675595271,0.000785714285714231,0.000776785714285617,0.00079613095238099
"PELT",4019,64,0.00100550848890704,0.000927922077922153,0.000916666666666645,0.000943452380952403
"PELT",5056,64,0.00113743912337663,0.00108928571428635,0.00108928571428533,0.00109902597402561
"PELT",6360,64,0.001275917777398,0.00127272727272715,0.00126785714285711,0.00128571428571433
"PELT",8000,64,0.00174255275974011,0.00151785714285678,0.00150000000000107,0.00153571428571451
"RFPOP",256,64,0.000163419595559516,0.000162500000000002,0.000160714285714292,0.000164285714285714
"RFPOP",322,64,0.000184470421691407,0.000183801020408168,0.000182142857142851,0.000185281385281374
"RFPOP",405,64,0.00020631571827295,0.000207142857142831,0.000203030303030304,0.000208116883116899
"RFPOP",510,64,0.000251955848427886,0.000249999999999997,0.000247368421052616,0.000254545454545481
"RFPOP",641,64,0.000296779613273244,0.000295454545454535,0.000294689849624094,0.000300000000000011
"RFPOP",806,64,0.000369235321969698,0.000363961038961002,0.000357575757575742,0.000375757575757647
"RFPOP",1014,64,0.000452048329274892,0.000442424242424288,0.000436363636363653,0.000457651515151545
"RFPOP",1276,64,0.000561645782602835,0.000559090909090866,0.000545454545454566,0.000572727272727424
"RFPOP",1605,64,0.000715343445616891,0.000709090909090936,0.000699999999999984,0.000727272727272841
"RFPOP",2019,64,0.000941060436958895,0.000942965367965087,0.000914448051947938,0.000964285714285751
"RFPOP",2540,64,0.00126004971590911,0.00126785714285711,0.00123214285714316,0.00128571428571433
"RFPOP",3195,64,0.00165169333133984,0.00164285714285687,0.00160714285714343,0.0016607142857146
"RFPOP",4019,64,0.00216206531954888,0.00213721804511305,0.00210714285714175,0.00221428571428512
"RFPOP",5056,64,0.00293012271445656,0.00294736842105175,0.002842105263158,0.0030000000000005
"RFPOP",6360,64,0.00384869444563114,0.00385714285714097,0.00371428571428721,0.00392261904761917
"RFPOP",8000,64,0.00520494791666702,0.00518333333333487,0.00509999999999309,0.00533333333333038
"SVP MedianMood / right / alpha = 0.001",256,64,0.000122804129464286,0.000123214285714286,0.000121623376623378,0.00012363636363636
"SVP MedianMood / right / alpha = 0.001",322,64,0.000153881681934139,0.000153571428571439,0.000153571428571426,0.000155357142857142
"SVP MedianMood / right / alpha = 0.001",405,64,0.000196351407638416,0.000196428571428596,0.000196428571428545,0.000196699134199143
"SVP MedianMood / right / alpha = 0.001",510,64,0.000267724776251717,0.000268181818181871,0.00026698158749145,0.000268421052631589
"SVP MedianMood / right / alpha = 0.001",641,64,0.000375860905815695,0.000375757575757647,0.000371428571428721,0.000378571428571409
"SVP MedianMood / right / alpha = 0.001",806,64,0.000544759537337664,0.000545454545454566,0.000539999999999875,0.000547727272727175
"SVP MedianMood / right / alpha = 0.001",1014,64,0.000809444331709975,0.000809090909091155,0.000809090909090897,0.000818181818181849
"SVP MedianMood / right / alpha = 0.001",1276,64,0.00124081777597405,0.00123636363636386,0.00123214285714316,0.00124999999999988
"SVP MedianMood / right / alpha = 0.001",1605,64,0.00191529605263152,0.00192857142857049,0.00189285714285806,0.00192857142857049
"SVP MedianMood / right / alpha = 0.001",2019,64,0.00298055686090214,0.00298214285714227,0.00294736842105175,0.00300000000000049
"SVP MedianMood / right / alpha = 0.001",2540,64,0.00466903409090902,0.00466666666666526,0.00466666666666526,0.00466666666667
"SVP MedianMood / right / alpha = 0.001",3195,64,0.00732003348214373,0.00728571428571253,0.00726785714285936,0.00733035714285839
"SVP MedianMood / right / alpha = 0.001",4019,64,0.163344270833333,0.0114000000000033,0.0113999999999919,0.0115999999999985
"SVP MedianMood / right / alpha = 0.001",5056,64,0.0180403645833331,0.0180000000000007,0.0180000000000007,0.01800312500001
"SVP MedianMood / right / alpha = 0.001",6360,64,0.0282942708333347,0.02800000000002,0.0279999999999916,0.028499999999994
"SVP MedianMood / right / alpha = 0.001",8000,64,0.0444062499999971,0.0444999999999709,0.0440000000000396,0.0445000000000277
"SVP Wilcoxon / right / c = 1.75",256,64,9.09812000832035e-05,9.09090909090922e-05,9.090909090909e-05,9.10714285714289e-05
"SVP Wilcoxon / right / c = 1.75",322,64,0.000102951332521645,0.000103030303030305,0.000101818181818177,0.000103571428571428
"SVP Wilcoxon / right / c = 1.75",405,64,0.000125218268060062,0.000125000000000014,0.000124318181818171,0.000125454545454524
"SVP Wilcoxon / right / c = 1.75",510,64,0.000390895321196673,0.000158928571428569,0.000158441558441577,0.000158950892857165
"SVP Wilcoxon / right / c = 1.75",641,64,0.000673273560321269,0.000207142857142831,0.000207142857142831,0.000207894736842126
"SVP Wilcoxon / right / c = 1.75",806,64,0.00118775191707996,0.000286038961038956,0.0002842105263158,0.000286363636363583
"SVP Wilcoxon / right / c = 1.75",1014,64,0.000410595068993515,0.000412121212121113,0.000409902597402571,0.000412121212121285
"SVP Wilcoxon / right / c = 1.75",1276,64,0.000607224025973993,0.000609090909090975,0.000609090909090717,0.000609090909090975
"SVP Wilcoxon / right / c = 1.75",1605,64,0.000913313379329159,0.000910714285714066,0.000910714285714066,0.000910714285715082
"SVP Wilcoxon / right / c = 1.75",2019,64,0.00139939123376633,0.0013928571428577,0.0013928571428577,0.00139999999999997
"SVP Wilcoxon / right / c = 1.75",2540,64,0.00216576597744361,0.00217857142857067,0.00215789473684194,0.00217857142857067
"SVP Wilcoxon / right / c = 1.75",3195,64,0.00336771616541339,0.00336842105262971,0.00335714285714265,0.00336842105263121
"SVP Wilcoxon / right / c = 1.75",4019,64,0.00527469223484891,0.00527272727272661,0.00525000000000138,0.00529999999999973
"SVP Wilcoxon / right / c = 1.75",5056,64,0.00828571428571502,0.00828571428571325,0.00828571428571325,0.00828571428571325
"SVP Wilcoxon / right / c = 1.75",6360,64,0.4433,0.0129999999999995,0.0129999999999995,0.0129999999999995
"SVP Wilcoxon / right / c = 1.75",8000,64,0.0206302083333334,0.0206666666666706,0.0206666666666706,0.0206666666666706
