"rep","mode","n_changepoints","precision","recall","F1","changepoints"
1,"right",7,0.714285714285714,0.5,0.588235294117647,"1085,1526,1685,1866,2042,2577,2768"
1,"both",8,0.625,0.5,0.555555555555556,"1085,1526,1685,1866,2047,2428,2572,2768"
2,"right",7,0.714285714285714,0.5,0.588235294117647,"1070,1526,1685,1866,2030,2578,2768"
2,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2030,2428,2575,2768"
3,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1540,1685,1866,2047,2590,2768"
3,"both",8,0.75,0.6,0.666666666666667,"1070,1540,1685,1866,2047,2413,2576,2768"
4,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2728"
4,"both",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2456,2768"
5,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2568,2768"
5,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2579,2768"
6,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2564,2766"
6,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2575,2766"
7,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2038,2591,2769"
7,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2575,2769"
8,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2552,2765"
8,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2769"
9,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2705"
9,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2428,2590,2768"
10,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
10,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2422,2573,2768"
11,"right",6,0.666666666666667,0.4,0.5,"1154,1656,1866,2047,2591,2768"
11,"both",8,0.625,0.5,0.555555555555556,"1070,1575,1685,1866,2047,2428,2573,2768"
12,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2042,2563,2768"
12,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2573,2768"
13,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2587,2767"
