"gamma","mode","n_changepoints","precision","recall","F1"
64,"right",9,0.777777777777778,0.7,0.736842105263158
64,"both",10,0.6,0.6,0.6
65,"right",9,0.777777777777778,0.7,0.736842105263158
65,"both",10,0.6,0.6,0.6
66,"right",9,0.777777777777778,0.7,0.736842105263158
66,"both",10,0.6,0.6,0.6
67,"right",9,0.777777777777778,0.7,0.736842105263158
67,"both",10,0.6,0.6,0.6
68,"right",9,0.777777777777778,0.7,0.736842105263158
68,"both",10,0.6,0.6,0.6
69,"right",9,0.777777777777778,0.7,0.736842105263158
69,"both",10,0.6,0.6,0.6
70,"right",9,0.777777777777778,0.7,0.736842105263158
70,"both",10,0.6,0.6,0.6
71,"right",9,0.777777777777778,0.7,0.736842105263158
71,"both",10,0.6,0.6,0.6
72,"right",9,0.777777777777778,0.7,0.736842105263158
72,"both",9,0.666666666666667,0.6,0.631578947368421
73,"right",8,0.75,0.6,0.666666666666667
73,"both",9,0.666666666666667,0.6,0.631578947368421
74,"right",8,0.875,0.7,0.777777777777778
74,"both",9,0.666666666666667,0.6,0.631578947368421
75,"right",8,0.875,0.7,0.777777777777778
75,"both",9,0.666666666666667,0.6,0.631578947368421
76,"right",8,0.875,0.7,0.777777777777778
76,"both",9,0.666666666666667,0.6,0.631578947368421
77,"right",8,0.875,0.7,0.777777777777778
77,"both",9,0.666666666666667,0.6,0.631578947368421
78,"right",8,0.875,0.7,0.777777777777778
78,"both",9,0.666666666666667,0.6,0.631578947368421
79,"right",8,0.875,0.7,0.777777777777778
79,"both",9,0.666666666666667,0.6,0.631578947368421
80,"right",8,0.875,0.7,0.777777777777778
80,"both",9,0.666666666666667,0.6,0.631578947368421
81,"right",8,0.875,0.7,0.777777777777778
81,"both",9,0.666666666666667,0.6,0.631578947368421
82,"right",8,0.875,0.7,0.777777777777778
82,"both",9,0.666666666666667,0.6,0.631578947368421
83,"right",8,0.875,0.7,0.777777777777778
83,"both",9,0.666666666666667,0.6,0.631578947368421
84,"right",8,0.875,0.7,0.777777777777778
84,"both",9,0.666666666666667,0.6,0.631578947368421
85,"right",8,0.875,0.7,0.777777777777778
85,"both",9,0.666666666666667,0.6,0.631578947368421
86,"right",8,0.875,0.7,0.777777777777778
86,"both",9,0.666666666666667,0.6,0.631578947368421
87,"right",7,1,0.7,0.823529411764706
87,"both",9,0.666666666666667,0.6,0.631578947368421
88,"right",7,1,0.7,0.823529411764706
88,"both",9,0.666666666666667,0.6,0.631578947368421
89,"right",7,1,0.7,0.823529411764706
89,"both",9,0.666666666666667,0.6,0.631578947368421
90,"right",7,1,0.7,0.823529411764706
90,"both",9,0.666666666666667,0.6,0.631578947368421
91,"right",7,1,0.7,0.823529411764706
91,"both",9,0.666666666666667,0.6,0.631578947368421
92,"right",7,1,0.7,0.823529411764706
92,"both",9,0.666666666666667,0.6,0.631578947368421
93,"right",7,1,0.7,0.823529411764706
93,"both",8,0.75,0.6,0.666666666666667
94,"right",7,1,0.7,0.823529411764706
94,"both",8,0.75,0.6,0.666666666666667
95,"right",7,1,0.7,0.823529411764706
95,"both",8,0.75,0.6,0.666666666666667
96,"right",7,1,0.7,0.823529411764706
96,"both",8,0.75,0.6,0.666666666666667
97,"right",7,1,0.7,0.823529411764706
97,"both",8,0.75,0.6,0.666666666666667
98,"right",7,1,0.7,0.823529411764706
98,"both",8,0.875,0.7,0.777777777777778
99,"right",7,1,0.7,0.823529411764706
99,"both",8,0.875,0.7,0.777777777777778
100,"right",7,1,0.7,0.823529411764706
100,"both",8,0.875,0.7,0.777777777777778
101,"right",7,1,0.7,0.823529411764706
101,"both",8,0.875,0.7,0.777777777777778
102,"right",7,1,0.7,0.823529411764706
102,"both",8,0.875,0.7,0.777777777777778
103,"right",7,1,0.7,0.823529411764706
103,"both",8,0.875,0.7,0.777777777777778
104,"right",7,1,0.7,0.823529411764706
104,"both",8,1,0.8,0.888888888888889
105,"right",7,1,0.7,0.823529411764706
105,"both",8,1,0.8,0.888888888888889
